user_id,product_type,pay_method,price
1001,1,1.현금,153000 
1002,2,2.직불카드,120000 
1003,3,3.신용카드,780000 
1003,4,3.신용카드,123000 
1003,5,3.신용카드,79000 
1003,1,3.신용카드,125000 
1007,2,2.직불카드,150000 
1007,3,2.직불카드,78879 
1007,4,2.직불카드,81980 
1007,5,2.직불카드,71773 
1011,2,1.현금,71774 
1012,3,2.직불카드,74968 
1013,4,1.현금,81841 
1014,4,2.직불카드,94782 
1014,5,2.직불카드,83804 
1016,1,1.현금,5813 
1016,2,1.현금,6459 
1018,3,3.신용카드,73451 
1018,4,3.신용카드,4275 
1018,5,3.신용카드,83410 
1018,2,3.신용카드,83410 
1018,3,3.신용카드,75227 
1018,2,3.신용카드,87726 
1018,3,3.신용카드,88246 
1025,4,1.현금,88246 
1025,5,1.현금,70757 
1025,1,1.현금,67067 
1025,2,1.현금,68996 
1025,3,1.현금,86768 
1030,4,3.신용카드,290 
1030,5,3.신용카드,290 
1030,2,3.신용카드,78758 
1033,3,1.현금,78758 
1034,4,1.현금,3094 
1035,4,1.현금,86084 
1036,5,1.현금,72597 
1037,1,1.현금,90930 
1038,2,3.신용카드,82531 
1038,3,2.직불카드,8222 
1038,4,2.직불카드,8222 
1041,1,3.신용카드,72481 
1041,2,3.신용카드,8854 
1041,3,3.신용카드,8854 
1044,4,1.현금,8045 
1045,5,1.현금,8045 
1046,2,3.신용카드,1598 
1046,3,3.신용카드,5125 
1046,2,3.신용카드,68983 
1046,3,3.신용카드,74307 
1050,4,1.현금,84559 
1050,5,1.현금,97835 
1052,1,3.신용카드,101801 
1053,2,3.신용카드,101801 
1054,3,3.신용카드,90552 
1055,4,1.현금,91410 
1056,5,3.신용카드,76158 
1056,2,3.신용카드,11808 
1056,3,3.신용카드,11808 
1059,4,1.현금,4173 
1060,4,3.신용카드,72932 
1060,5,3.신용카드,75837 
1060,2,3.신용카드,78879 
1060,3,3.신용카드,8556 
1060,4,3.신용카드,8556 
1065,4,1.현금,69361 
1066,5,3.신용카드,5332 
1066,1,3.신용카드,5332 
1066,2,3.신용카드,12081 
1066,3,3.신용카드,12081 
1066,4,3.신용카드,81846 
1066,5,3.신용카드,89513 
1072,2,1.현금,92786 
1073,3,1.현금,92786 
1074,2,1.현금,8054 
1075,3,1.현금,8054 
1076,4,1.현금,8054 
1077,5,1.현금,8054 
1078,1,3.신용카드,99274 
1078,2,3.신용카드,9658 
1078,3,3.신용카드,9658 
1081,4,1.현금,72970 
1082,5,3.신용카드,91711 
1083,2,1.현금,290 
1084,3,1.현금,290 
1085,4,1.현금,290 
1086,4,1.현금,91539 
1087,5,1.현금,4982 
1088,1,1.현금,10476 
1089,2,3.신용카드,77044 
1090,3,1.현금,13146 
1091,4,1.현금,72532 
1092,1,3.신용카드,1904 
1093,5,3.신용카드,84320 
1094,2,1.현금,10442 
1095,3,3.신용카드,90500 
1096,4,1.현금,9573 
1097,4,1.현금,77117 
1098,5,1.현금,9573 
1099,1,1.현금,77117 
1100,2,3.신용카드,16434 
1101,3,3.신용카드,74294 
1102,4,1.현금,101877 
1103,5,1.현금,9573 
1104,2,1.현금,77117 
1105,3,3.신용카드,11484 
1106,2,3.신용카드,92494 
1107,3,1.현금,80326 
1108,4,3.신용카드,89435 
1109,5,3.신용카드,89435 
1110,1,2.직불카드,7510 
1111,2,2.직불카드,7510 
1112,3,3.신용카드,101579 
1113,4,3.신용카드,14693 
1114,5,1.현금,85361 
1115,2,3.신용카드,77106 
1116,3,1.현금,17272 
1117,4,1.현금,7497 
1118,4,3.신용카드,70254 
1119,5,1.현금,17044 
1120,1,3.신용카드,94151 
1120,2,3.신용카드,172 
1120,3,3.신용카드,95065 
1120,4,3.신용카드,76356 
1120,1,3.신용카드,93655 
1125,3,3.신용카드,93470 
1126,4,3.신용카드,76922 
1127,4,3.신용카드,17310 
1128,5,1.현금,7289 
1129,1,3.신용카드,1884 
1130,2,4.상품권,3399 
1131,3,3.신용카드,9163 
1132,4,1.현금,86951 
1133,5,1.현금,89360 
1134,2,3.신용카드,13240 
1135,3,3.신용카드,13240 
1136,2,1.현금,92072 
1136,3,1.현금,67211 
1136,4,1.현금,67841 
1139,5,3.신용카드,68240 
1140,1,1.현금,8841 
1141,2,1.현금,2325 
1142,3,1.현금,80012 
1143,4,3.신용카드,6270 
1144,5,3.신용카드,77797 
1145,2,4.상품권,91780 
1146,3,1.현금,16265 
1147,4,1.현금,96351 
