5.1, 1.4, 0.2, 3.5, nr
4.9, 1.4, 0.2, 3, nr
4.7, 1.3, 0.2, 3.2, nr
4.6, 1.5, 0.2, 3.1, nr
5, 1.4, 0.2, 3.6, nr
5.4, 1.7, 0.4, 3.9, nr
4.6, 1.4, 0.3, 3.4, nr
5, 1.5, 0.2, 3.4, nr
4.4, 1.4, 0.2, 2.9, nr
4.9, 1.5, 0.1, 3.1, nr
5.4, 1.5, 0.2, 3.7, nr
4.8, 1.6, 0.2, 3.4, nr
4.8, 1.4, 0.1, 3, nr
4.3, 1.1, 0.1, 3, nr
5.8, 1.2, 0.2, 4, nr
5.7, 1.5, 0.4, 4.4, nr
5.4, 1.3, 0.4, 3.9, nr
5.1, 1.4, 0.3, 3.5, nr
5.7, 1.7, 0.3, 3.8, nr
5.1, 1.5, 0.3, 3.8, nr
5.4, 1.7, 0.2, 3.4, nr
5.1, 1.5, 0.4, 3.7, nr
4.6, 1, 0.2, 3.6, nr
5.1, 1.7, 0.5, 3.3, nr
4.8, 1.9, 0.2, 3.4, nr
5, 1.6, 0.2, 3, nr
5, 1.6, 0.4, 3.4, nr
5.2, 1.5, 0.2, 3.5, nr
5.2, 1.4, 0.2, 3.4, nr
4.7, 1.6, 0.2, 3.2, nr
4.8, 1.6, 0.2, 3.1, nr
5.4, 1.5, 0.4, 3.4, nr
5.2, 1.5, 0.1, 4.1, nr
5.5, 1.4, 0.2, 4.2, nr
4.9, 1.5, 0.1, 3.1, nr
5, 1.2, 0.2, 3.2, nr
5.5, 1.3, 0.2, 3.5, nr
4.9, 1.5, 0.1, 3.1, nr
4.4, 1.3, 0.2, 3, nr
5.1, 1.5, 0.2, 3.4, nr
5, 1.3, 0.3, 3.5, nr
4.5, 1.3, 0.3, 2.3, nr
4.4, 1.3, 0.2, 3.2, nr
5, 1.6, 0.6, 3.5, nr
5.1, 1.9, 0.4, 3.8, nr
4.8, 1.4, 0.3, 3, nr
5.1, 1.6, 0.2, 3.8, nr
4.6, 1.4, 0.2, 3.2, nr
5.3, 1.5, 0.2, 3.7, nr
5, 1.4, 0.2, 3.3, nr
7, 4.7, 1.4, 3.2, low
6.4, 4.5, 1.5, 3.2, low
6.9, 4.9, 1.5, 3.1, low
5.5, 4, 1.3, 2.3, low
6.5, 4.6, 1.5, 2.8, low
5.7, 4.5, 1.3, 2.8, low
6.3, 4.7, 1.6, 3.3, low
4.9, 3.3, 1, 2.4, low
6.6, 4.6, 1.3, 2.9, low
5.2, 3.9, 1.4, 2.7, low
5, 3.5, 1, 2, low
5.9, 4.2, 1.5, 3, low
6, 4, 1, 2.2, low
6.1, 4.7, 1.4, 2.9, low
5.6, 3.6, 1.3, 2.9, low
6.7, 4.4, 1.4, 3.1, low
5.6, 4.5, 1.5, 3, low
5.8, 4.1, 1, 2.7, low
6.2, 4.5, 1.5, 2.2, low
5.6, 3.9, 1.1, 2.5, low
5.9, 4.8, 1.8, 3.2, low
6.1, 4, 1.3, 2.8, low
6.3, 4.9, 1.5, 2.5, low
6.1, 4.7, 1.2, 2.8, low
6.4, 4.3, 1.3, 2.9, low
6.6, 4.4, 1.4, 3, low
6.8, 4.8, 1.4, 2.8, low
6.7, 5, 1.7, 3, low
6, 4.5, 1.5, 2.9, low
5.7, 3.5, 1, 2.6, low
5.5, 3.8, 1.1, 2.4, low
5.5, 3.7, 1, 2.4, low
5.8, 3.9, 1.2, 2.7, low
6, 5.1, 1.6, 2.7, low
5.4, 4.5, 1.5, 3, low
6, 4.5, 1.6, 3.4, low
6.7, 4.7, 1.5, 3.1, low
6.3, 4.4, 1.3, 2.3, low
5.6, 4.1, 1.3, 3, low
5.5, 4, 1.3, 2.5, low
5.5, 4.4, 1.2, 2.6, low
6.1, 4.6, 1.4, 3, low
5.8, 4, 1.2, 2.6, low
5, 3.3, 1, 2.3, low
5.6, 4.2, 1.3, 2.7, low
5.7, 4.2, 1.2, 3, low
5.7, 4.2, 1.3, 2.9, low
6.2, 4.3, 1.3, 2.9, low
5.1, 3, 1.1, 2.5, low
5.7, 4.1, 1.3, 2.8, low
6.3, 6, 2.5, 3.3, high
5.8, 5.1, 1.9, 2.7, high
7.1, 5.9, 2.1, 3, high
6.3, 5.6, 1.8, 2.9, high
6.5, 5.8, 2.2, 3, high
7.6, 6.6, 2.1, 3, high
4.9, 4.5, 1.7, 2.5, high
7.3, 6.3, 1.8, 2.9, high
6.7, 5.8, 1.8, 2.5, high
7.2, 6.1, 2.5, 3.6, high
6.5, 5.1, 2, 3.2, high
6.4, 5.3, 1.9, 2.7, high
6.8, 5.5, 2.1, 3, high
5.7, 5, 2, 2.5, high
5.8, 5.1, 2.4, 2.8, high
6.4, 5.3, 2.3, 3.2, high
6.5, 5.5, 1.8, 3, high
7.7, 6.7, 2.2, 3.8, high
7.7, 6.9, 2.3, 2.6, high
6, 5, 1.5, 2.2, high
6.9, 5.7, 2.3, 3.2, high
5.6, 4.9, 2, 2.8, high
7.7, 6.7, 2, 2.8, high
6.3, 4.9, 1.8, 2.7, high
6.7, 5.7, 2.1, 3.3, high
7.2, 6, 1.8, 3.2, high
6.2, 4.8, 1.8, 2.8, high
6.1, 4.9, 1.8, 3, high
6.4, 5.6, 2.1, 2.8, high
7.2, 5.8, 1.6, 3, high
7.4, 6.1, 1.9, 2.8, high
7.9, 6.4, 2, 3.8, high
6.4, 5.6, 2.2, 2.8, high
6.3, 5.1, 1.5, 2.8, high
6.1, 5.6, 1.4, 2.6, high
7.7, 6.1, 2.3, 3, high
6.3, 5.6, 2.4, 3.4, high
6.4, 5.5, 1.8, 3.1, high
6, 4.8, 1.8, 3, high
6.9, 5.4, 2.1, 3.1, high
6.7, 5.6, 2.4, 3.1, high
6.9, 5.1, 2.3, 3.1, high
5.8, 5.1, 1.9, 2.7, high
6.8, 5.9, 2.3, 3.2, high
6.7, 5.7, 2.5, 3.3, high
6.7, 5.2, 2.3, 3, high
6.3, 5, 1.9, 2.5, high
6.5, 5.2, 2, 3, high
6.2, 5.4, 2.3, 3.4, high
5.9, 5.1, 1.8, 3, high
